20250907T133000+0000	16200	Koncert Inauguracyjny Festiwalu w Tucholi			6cs3gcj5chh3gbb56hh34b9kc5gjgbb26thj6b9o6gqmccb6ckq38d9kck@google.com	20250427T050959+0000	20250430T124940+0000	
20250818T170000+0000	9000	Próba tutti, 20.30 próba dla panów			chgm2ob1cpijeb9h64pj8b9kccpm2b9o70s3ab9o68r38dpgc8qj2e1p6s@google.com	20250622T181437+0000	20250622T181521+0000	tTB
20250821T170000+0000	9000	Próba tutti			cgom2ohl74s38b9p6gojeb9k6cpj8bb1c4r6cb9hc9j30cj274ojcp9m6s@google.com	20250622T181530+0000	20250622T181530+0000	t
20250825T170000+0000	9000	Próba dla panów			65hj4d326cs62bb36csjeb9k75j3abb160qjibb3chhj2p9m6hh3ao9mcc@google.com	20250622T181630+0000	20250622T181630+0000	TB
20250827T170000+0000	9000	Próba dla pań			6him8d326dgj0b9l74q34b9k69j66bb1cgr3ibb368s3ge9jckpj2d34cg@google.com	20250622T181640+0000	20250622T181640+0000	SA
20250828T170000+0000	8100	Próba tutti			61j64db375i3eb9nckr36b9k70pj8b9oc8rjebb164ojcp1kcdi64e1kc8@google.com	20250622T181648+0000	20250622T181648+0000	t
20250829T170000+0000	8100	Próba dla panów			6opm6e9i70s38bb5c9ijcb9kc4sj4bb265hj0b9jc8p6cd366kq6cc1g70@google.com	20250622T181710+0000	20250622T181710+0000	TB
20250901T170000+0000	9000	Próba tutti			6hi38c9nclhj2bb569ij8b9kcgqjebb26csjgb9n6co62or5c8pjep326c@google.com	20250622T181825+0000	20250622T181825+0000	t
20250904T170000+0000	9000	Próba tutti			cosjeoj66sq3ib9pcpi3ab9k6ph38b9o6ksj4b9m60s64e1lc8o6aeb36k@google.com	20250622T182129+0000	20250622T182129+0000	t
20250908T170000+0000	9000	Próba dla pań			64r38pj464r32b9j68r6ab9kcdi68bb1ckqjibb3clhjgcj664s6adr56c@google.com	20250622T182457+0000	20250622T182520+0000	SA
20250910T170000+0000	9000	Próba dla panow			6kojec1j61j64b9i6tijib9k6soj2b9p6lgmab9lc8q3ee9i69hj0c9j70@google.com	20250622T182511+0000	20250622T182526+0000	TB
20250911T170000+0000	9000	Próba tutti			ckq6ce1hcpj3ab9hcoqm4b9k74r64b9p6kojgb9jcko36oj66gr62o9o6c@google.com	20250622T182536+0000	20250622T182536+0000	t
20250922T170000+0000	9000	Próba tutti			6lijap31coqjcb9m6os3eb9kcdgj4b9pc8p38b9lcos6ccj171h3gphk64@google.com	20250622T182753+0000	20250622T182753+0000	t
20250924T050000+0000	12600	Wyjazd Osaka			6hhjecr660ojab9g6srm6b9kcpijebb16lh3cb9j6sq6ceb46kpjid31cc@google.com	20250622T182832+0000	20250622T182832+0000	
